,notes,train_acc,train_loss,val_acc,val_loss
0,,0.45,1.5180,0.43,4.8158
1,,0.43,1.5548,0.43,1.5926
2,,0.40,1.6020,0.43,1.5465
3,,0.42,1.5118,0.42,1.6418
4,,0.41,1.5388,0.43,1.5503
5,,0.46,1.4750,0.42,1.6504
6,,0.42,1.5204,0.43,1.4892
7,,0.44,1.4720,0.41,1.8279
8,,0.46,1.4304,0.51,3.5909
9,,0.48,1.4213,0.36,2.4872
10,,0.42,1.5398,0.39,1.5173
11,,0.49,1.3418,0.46,1.5870
12,,0.52,1.2918,0.39,1.8528
13,,0.53,1.2450,0.47,1.4666
14,,0.54,1.2034,0.09,5.1310
15,,0.50,1.3028,0.44,1.4670
16,,0.58,1.1515,0.44,1.6343
17,,0.58,1.1153,0.21,3.4879
18,,0.60,1.1174,0.19,3.4564
19,,0.61,1.0185,0.52,1.5583
20,,0.68,0.8848,0.48,2.0552
21,,0.68,0.8605,0.45,1.4257
22,,0.72,0.7505,0.50,1.7235
23,,0.75,0.6708,0.43,1.9800
24,,0.77,0.6628,0.49,1.6636
25,,0.81,0.5261,0.45,3.6679
26,,0.82,0.5071,0.33,2.7526
27,,0.86,0.4030,0.34,3.8140
28,,0.85,0.4269,0.44,1.9197
29,created new SGD optimizer with LR: 0.00100000000000000002,0.89,0.3476,0.47,3.3347
30,,0.92,0.2238,0.50,2.6698
31,,0.95,0.1429,0.57,1.9949
32,,0.98,0.0597,0.59,2.0107
33,,0.99,0.0402,0.61,2.0961
34,,0.99,0.0298,0.60,2.1370
35,,0.99,0.0253,0.59,2.2373
36,,1.00,0.0233,0.59,2.3110
37,,1.00,0.0187,0.58,2.3104
38,,1.00,0.0135,0.58,2.4264
39,,1.00,0.0139,0.60,2.4835
40,,1.00,0.0100,0.59,2.5082
41,,1.00,0.0107,0.60,2.5386
42,,1.00,0.0115,0.61,2.4886
43,,1.00,0.0084,0.61,2.5942
44,,1.00,0.0081,0.60,2.6437
45,,1.00,0.0094,0.60,2.6825
46,,1.00,0.0067,0.61,2.6561
47,,1.00,0.0064,0.61,2.6709
48,,1.00,0.0047,0.60,2.7606
49,,1.00,0.0052,0.61,2.7294
