,notes,train_acc,train_loss,val_acc,val_loss
0,,0.59,1.3104,0.41,2.1956
1,,0.69,0.9900,0.58,1.3397
2,,0.79,0.6442,0.61,1.2023
3,,0.78,0.5996,0.62,1.5517
4,,0.79,0.6496,0.64,1.6129
5,,0.80,0.5595,0.53,1.6332
6,created new Adam optimizer with LR: 0.00050000000000000001,0.84,0.4351,0.71,0.7524
7,,0.85,0.4142,0.64,1.4310
8,,0.88,0.3510,0.73,0.6983
9,,0.89,0.2715,0.74,0.6557
10,,0.91,0.2491,0.73,0.6540
11,,0.91,0.2448,0.75,0.6635
12,,0.90,0.2519,0.75,0.6209
13,created new Adam optimizer with LR: 0.00005,0.91,0.2355,0.73,0.6106
14,,0.91,0.2290,0.75,0.6100
15,,0.93,0.2031,0.75,0.6007
16,,0.92,0.2236,0.77,0.5944
17,,0.91,0.2378,0.77,0.5960
18,,0.91,0.2277,0.76,0.5941
19,,0.92,0.2148,0.76,0.5940
20,created new Adam optimizer with LR: 0.000005,0.92,0.2187,0.76,0.5920
21,,0.92,0.2080,0.77,0.5926
22,,0.91,0.2279,0.78,0.5927
23,,0.92,0.2102,0.77,0.5928
24,,0.92,0.2070,0.78,0.5926
25,,0.92,0.2267,0.76,0.5928
26,,0.92,0.2163,0.78,0.5928
27,created new Adam optimizer with LR: 0.0000005,0.92,0.2079,0.77,0.5923
28,,0.92,0.2142,0.78,0.5923
29,,0.92,0.2166,0.77,0.5924
30,,0.91,0.2114,0.77,0.5923
31,,0.92,0.2079,0.78,0.5923
32,,0.92,0.2108,0.78,0.5922
33,,0.92,0.2111,0.77,0.5922
34,created new Adam optimizer with LR: 0.00000005,0.93,0.2075,0.76,0.5923
35,,0.92,0.2144,0.76,0.5923
36,,0.92,0.2203,0.78,0.5923
37,,0.92,0.2152,0.77,0.5923
38,,0.91,0.2127,0.77,0.5923
39,,0.91,0.2221,0.78,0.5923
40,,0.92,0.2147,0.77,0.5923
41,created new Adam optimizer with LR: 0.000000005,0.92,0.2116,0.78,0.5923
42,,0.92,0.2113,0.77,0.5923
43,,0.91,0.2140,0.77,0.5923
44,,0.92,0.2152,0.78,0.5923
45,,0.93,0.2022,0.76,0.5923
46,,0.92,0.2112,0.77,0.5923
47,,0.92,0.2285,0.77,0.5923
48,created new Adam optimizer with LR: 0.0000000005,0.93,0.2063,0.78,0.5923
49,,0.92,0.2124,0.77,0.5923
50,,0.92,0.2139,0.77,0.5923
51,,0.92,0.2228,0.76,0.5923
52,,0.93,0.2130,0.78,0.5923
53,,0.92,0.2179,0.78,0.5923
54,,0.92,0.2235,0.78,0.5923
55,created new Adam optimizer with LR: 0.00000000005,0.92,0.2209,0.77,0.5923
56,,0.92,0.2163,0.77,0.5923
57,,0.92,0.2213,0.77,0.5923
58,,0.93,0.2079,0.78,0.5923
59,,0.92,0.2180,0.77,0.5923
60,,0.92,0.2176,0.77,0.5923
61,,0.92,0.2165,0.77,0.5923
62,created new Adam optimizer with LR: 0.000000000005,0.93,0.2096,0.77,0.5923
63,,0.91,0.2254,0.77,0.5923
64,,0.93,0.2123,0.78,0.5923
65,,0.92,0.2149,0.78,0.5923
66,,0.92,0.2079,0.77,0.5923
67,,0.92,0.2176,0.77,0.5923
68,,0.93,0.2057,0.77,0.5923
69,created new Adam optimizer with LR: 0.0000000000005,0.93,0.2006,0.78,0.5923
70,,0.92,0.2185,0.78,0.5923
71,,0.92,0.2126,0.78,0.5923
72,,0.93,0.2009,0.77,0.5923
73,,0.92,0.2031,0.77,0.5923
74,,0.93,0.2016,0.77,0.5923
75,,0.91,0.2351,0.76,0.5923
76,created new Adam optimizer with LR: 0.00000000000005,0.92,0.2178,0.77,0.5923
77,,0.93,0.2147,0.77,0.5923
78,,0.93,0.2069,0.77,0.5923
79,,0.92,0.2073,0.77,0.5923
80,,0.92,0.2160,0.77,0.5923
81,,0.91,0.2261,0.78,0.5923
82,,0.93,0.2103,0.78,0.5923
83,created new Adam optimizer with LR: 0.000000000000005,0.92,0.2171,0.77,0.5923
84,,0.92,0.2182,0.77,0.5923
85,,0.92,0.2166,0.77,0.5923
86,,0.93,0.2122,0.78,0.5923
87,,0.93,0.2036,0.77,0.5923
88,,0.92,0.2202,0.76,0.5923
89,,0.92,0.2194,0.77,0.5923
90,created new Adam optimizer with LR: 0.0000000000000005,0.93,0.2096,0.77,0.5923
91,,0.92,0.2147,0.77,0.5923
92,,0.91,0.2290,0.76,0.5923
93,,0.92,0.2064,0.77,0.5923
94,,0.91,0.2242,0.77,0.5923
95,,0.92,0.2134,0.76,0.5923
96,,0.93,0.1940,0.77,0.5923
97,created new Adam optimizer with LR: 0.00000000000000005,0.93,0.2058,0.78,0.5923
98,,0.93,0.1989,0.77,0.5923
99,,0.93,0.2043,0.77,0.5923
