epochs,notes,train_acc,train_loss,val_acc,val_loss
0,,0.50,1.6457,0.27,3.8075
1,,0.60,1.4386,0.47,5.5606
2,,0.66,1.1190,0.29,5.1203
3,,0.65,1.2286,0.50,1.8874
4,,0.65,1.2357,0.55,1.5775
5,,0.72,0.8372,0.34,3.1406
6,created new SGD optimizer with LR: 0.00100000000000000002,0.75,0.7532,0.59,2.6099
7,,0.75,0.7223,0.57,1.3972
8,,0.78,0.5751,0.64,1.2285
9,,0.82,0.5152,0.63,1.4231
10,,0.83,0.4702,0.58,1.1594
11,,0.82,0.4467,0.70,0.8901
12,,0.80,0.5104,0.66,1.0104
13,created new SGD optimizer with LR: 0.0001,0.83,0.4668,0.59,1.5605
14,,0.82,0.4589,0.65,1.0738
15,,0.82,0.4937,0.67,0.9117
16,,0.84,0.4062,0.69,1.0990
17,,0.83,0.4390,0.63,1.2001
18,,0.84,0.4428,0.59,1.4508
19,,0.86,0.3895,0.68,1.0915
20,created new SGD optimizer with LR: 0.00001,0.82,0.4686,0.68,0.8457
21,,0.81,0.4791,0.70,0.8907
22,,0.84,0.4254,0.66,1.1469
23,,0.82,0.4596,0.64,0.9208
24,,0.83,0.4597,0.63,0.9629
25,,0.83,0.4648,0.67,0.9813
26,,0.84,0.4438,0.59,1.0932
27,created new SGD optimizer with LR: 0.000001,0.85,0.4132,0.67,0.8971
28,,0.85,0.4154,0.60,1.2502
29,,0.85,0.4085,0.66,0.9061
30,,0.82,0.4414,0.65,1.2969
31,,0.85,0.4019,0.68,0.8320
32,,0.82,0.4352,0.57,1.4171
33,,0.84,0.4275,0.66,0.9682
34,created new SGD optimizer with LR: 0.0000001,0.83,0.4239,0.71,0.9487
35,,0.83,0.4260,0.57,2.3007
36,,0.82,0.4783,0.68,0.8627
37,,0.84,0.4204,0.69,0.9457
38,,0.84,0.4064,0.66,1.2246
39,,0.82,0.4680,0.67,1.0029
40,,0.84,0.4049,0.59,2.3335
41,created new SGD optimizer with LR: 0.00000001,0.82,0.4568,0.58,1.1449
42,,0.83,0.4348,0.59,1.6022
43,,0.84,0.3995,0.65,1.2617
44,,0.84,0.4217,0.66,1.0150
45,,0.83,0.4859,0.60,1.1771
46,,0.83,0.4339,0.67,0.9460
47,,0.84,0.4141,0.61,1.4587
48,created new SGD optimizer with LR: 0.000000001,0.85,0.4136,0.70,0.8446
49,,0.86,0.3726,0.60,1.5838
50,,0.84,0.4475,0.69,0.9753
51,,0.83,0.4302,0.68,1.0130
52,,0.85,0.4080,0.62,1.4030
53,,0.84,0.4178,0.68,1.0389
54,,0.84,0.4298,0.60,1.3997
55,created new SGD optimizer with LR: 0.0000000001,0.83,0.4392,0.68,0.9431
56,,0.82,0.4452,0.64,1.0594
57,,0.84,0.4147,0.59,1.9313
58,,0.83,0.4227,0.64,1.2338
59,,0.83,0.4390,0.65,0.9055
60,,0.86,0.3837,0.65,1.3816
61,,0.81,0.4776,0.66,1.2325
62,created new SGD optimizer with LR: 0.00000000001,0.85,0.4055,0.70,0.8610
63,,0.81,0.4787,0.59,1.3855
64,,0.85,0.4074,0.65,0.9506
65,,0.84,0.4155,0.64,1.2660
66,,0.85,0.3996,0.69,1.0090
67,,0.84,0.4369,0.64,1.3187
68,,0.83,0.4273,0.68,0.8541
69,created new SGD optimizer with LR: 0.000000000001,0.82,0.4394,0.64,1.0633
70,,0.82,0.4576,0.67,1.6012
71,,0.85,0.3902,0.71,0.9585
72,,0.81,0.4811,0.62,1.1717
73,,0.84,0.4173,0.63,1.2974
74,,0.81,0.4615,0.64,1.2199
75,,0.86,0.3910,0.66,1.0354
76,created new SGD optimizer with LR: 0.0000000000001,0.85,0.4069,0.62,1.3261
77,,0.85,0.4040,0.64,1.1094
78,,0.83,0.4202,0.69,0.9426
79,,0.84,0.4260,0.69,0.8282
80,,0.83,0.4328,0.70,1.1058
81,,0.85,0.4218,0.67,0.9297
82,,0.86,0.3776,0.63,1.0143
83,created new SGD optimizer with LR: 0.00000000000001,0.85,0.4093,0.64,1.3887
84,,0.83,0.4801,0.67,1.0642
85,,0.85,0.4071,0.67,0.9486
86,,0.84,0.4134,0.67,0.9801
87,,0.82,0.4385,0.70,0.9524
88,,0.83,0.4542,0.66,0.9456
89,,0.82,0.4406,0.64,1.3289
90,created new SGD optimizer with LR: 0.000000000000001,0.81,0.5025,0.63,1.5226
91,,0.84,0.4067,0.65,1.1908
92,,0.83,0.4452,0.73,0.8355
93,,0.83,0.4488,0.62,1.5804
94,,0.85,0.4156,0.59,2.0386
95,,0.82,0.4394,0.60,1.0974
96,,0.84,0.4207,0.67,0.9241
97,created new SGD optimizer with LR: 0.0000000000000001,0.85,0.4105,0.66,1.1131
98,,0.85,0.4165,0.66,1.2714
99,,0.85,0.4106,0.56,2.0189
