,notes,train_acc,train_loss,val_acc,val_loss
0,,0.55,1.3501,0.41,1.4098
1,,0.63,1.0553,0.51,1.4381
2,,0.63,1.0836,0.61,1.0565
3,,0.69,0.8343,0.63,0.9304
4,,0.71,0.8295,0.35,2.4259
5,,0.70,0.9262,0.54,1.6494
6,created new SGD optimizer with LR: 0.00100000000000000002,0.70,0.8869,0.57,1.2292
7,,0.75,0.7814,0.65,1.1385
8,,0.77,0.6663,0.64,1.0211
9,,0.77,0.6092,0.63,1.1918
10,,0.80,0.5368,0.65,0.8542
11,,0.77,0.5860,0.66,1.0612
12,,0.74,0.6414,0.69,0.9566
13,created new SGD optimizer with LR: 0.0001,0.77,0.5663,0.71,0.9220
14,,0.80,0.5306,0.72,0.8570
15,,0.78,0.5767,0.67,1.0612
16,,0.80,0.5255,0.66,0.9071
17,,0.81,0.4977,0.69,1.0806
18,,0.80,0.5126,0.68,0.7975
19,,0.80,0.5214,0.68,1.0404
20,created new SGD optimizer with LR: 0.00001,0.78,0.5632,0.64,1.0068
21,,0.81,0.5212,0.64,0.9541
22,,0.79,0.5307,0.64,0.9139
23,,0.81,0.5136,0.70,0.8609
24,,0.80,0.5234,0.67,0.8461
25,,0.79,0.5597,0.67,1.0026
26,,0.81,0.5461,0.67,0.9590
27,created new SGD optimizer with LR: 0.000001,0.80,0.5443,0.66,1.0717
28,,0.78,0.5780,0.71,0.8958
29,,0.79,0.5845,0.70,0.8809
30,,0.80,0.5416,0.67,0.9920
31,,0.80,0.5132,0.68,0.9558
32,,0.79,0.5388,0.67,0.9848
33,,0.81,0.4955,0.71,0.8817
34,created new SGD optimizer with LR: 0.0000001,0.80,0.5374,0.69,0.8645
35,,0.81,0.5305,0.65,0.9304
36,,0.80,0.5135,0.65,1.0847
37,,0.79,0.5324,0.67,1.0014
38,,0.81,0.5187,0.70,0.8725
39,,0.78,0.5863,0.68,0.9664
40,,0.82,0.5122,0.63,1.0109
41,created new SGD optimizer with LR: 0.00000001,0.80,0.5289,0.70,0.8835
42,,0.78,0.5486,0.71,0.8932
43,,0.80,0.5334,0.72,0.8541
44,,0.82,0.5075,0.63,0.8600
45,,0.79,0.5513,0.70,0.8114
46,,0.80,0.5499,0.69,0.9017
47,,0.80,0.5391,0.70,0.8816
48,created new SGD optimizer with LR: 0.000000001,0.79,0.5609,0.68,0.9452
49,,0.79,0.5433,0.66,0.9921
