,notes,train_acc,train_loss,val_acc,val_loss
0,,0.51,1.6892,0.45,4.8710
1,,0.61,1.3507,0.58,1.5035
2,,0.63,1.2925,0.59,2.0856
3,,0.66,1.1475,0.49,1.5209
4,,0.76,0.7063,0.60,1.3768
5,,0.69,0.9988,0.28,4.8103
6,,0.71,0.9914,0.55,5.1863
7,,0.77,0.8154,0.60,2.3479
8,,0.72,0.8843,0.58,1.4082
9,,0.79,0.6206,0.68,1.1242
10,,0.78,0.5867,0.42,4.4109
11,,0.78,0.7341,0.59,2.1600
12,,0.77,0.7027,0.66,1.9582
13,,0.82,0.5023,0.58,3.0729
14,,0.80,0.6271,0.61,2.3225
15,,0.84,0.4214,0.61,2.4223
16,,0.77,0.7277,0.63,2.7388
17,,0.84,0.4607,0.50,5.7312
18,,0.76,0.8189,0.60,2.7032
19,,0.81,0.5783,0.60,1.8611
20,,0.78,0.6730,0.52,3.3833
21,,0.79,0.6547,0.58,1.3104
22,,0.85,0.4152,0.65,1.5715
23,,0.80,0.6295,0.68,1.3748
24,,0.84,0.4553,0.42,3.4937
25,,0.84,0.4968,0.64,1.9779
26,,0.85,0.4733,0.60,4.7942
27,,0.82,0.5794,0.62,2.3481
28,,0.84,0.4955,0.70,0.9696
29,,0.88,0.3289,0.65,2.1205
30,,0.84,0.4407,0.64,1.4756
31,,0.85,0.4016,0.67,1.4392
32,,0.81,0.5703,0.56,1.8705
33,,0.88,0.3451,0.70,1.2236
34,,0.85,0.4523,0.52,1.8833
35,,0.81,0.5838,0.63,1.4194
36,,0.80,0.6606,0.59,6.9117
37,,0.84,0.5235,0.55,1.5931
38,,0.85,0.4277,0.54,1.6900
39,created new SGD optimizer with LR: 0.00100000000000000002,0.81,0.6396,0.69,1.2064
40,,0.84,0.4652,0.72,0.9546
41,,0.90,0.2793,0.67,1.6522
42,,0.86,0.3781,0.66,1.0026
43,,0.86,0.3338,0.68,1.6981
44,,0.87,0.3724,0.67,1.6074
45,,0.89,0.2809,0.66,2.2610
46,,0.89,0.2908,0.67,1.0809
47,,0.87,0.3381,0.66,1.4629
48,,0.88,0.2990,0.66,1.9025
49,,0.89,0.2832,0.67,1.2177
50,,0.88,0.3114,0.70,0.9390
51,,0.91,0.2337,0.67,1.9856
52,,0.89,0.3348,0.68,0.9276
53,,0.89,0.3148,0.64,2.3216
54,,0.90,0.2524,0.64,1.6672
55,,0.89,0.2806,0.60,1.5189
56,,0.89,0.3059,0.63,2.8995
57,,0.90,0.2560,0.62,2.0105
58,,0.89,0.3206,0.73,1.1009
59,,0.86,0.3840,0.66,3.4920
60,,0.87,0.3628,0.68,0.9974
61,,0.88,0.3011,0.65,2.5754
62,,0.89,0.3057,0.67,3.1995
63,,0.90,0.2637,0.66,1.3515
64,,0.89,0.2729,0.65,1.3760
65,,0.88,0.3170,0.68,1.2974
66,,0.89,0.2903,0.68,0.9256
67,,0.89,0.3031,0.65,1.1959
68,,0.85,0.3741,0.64,1.8517
69,,0.91,0.2248,0.66,1.0948
70,,0.89,0.2896,0.71,1.0857
71,,0.90,0.2706,0.73,0.8533
72,,0.90,0.2877,0.69,0.9455
73,,0.90,0.2557,0.69,1.0418
74,,0.89,0.2910,0.64,1.6791
75,,0.90,0.2682,0.67,1.2240
76,,0.89,0.2676,0.66,2.3426
77,,0.87,0.3221,0.69,1.2435
78,,0.90,0.2498,0.67,1.3334
79,created new SGD optimizer with LR: 0.0001,0.88,0.3036,0.70,1.0149
80,,0.92,0.2101,0.66,1.6822
81,,0.90,0.2448,0.65,2.9288
82,,0.87,0.3183,0.64,1.2952
83,,0.88,0.2924,0.68,2.0339
84,,0.92,0.2111,0.63,1.7174
85,,0.90,0.2832,0.62,2.0353
86,,0.91,0.2430,0.65,4.6236
87,,0.89,0.2942,0.71,0.9035
88,,0.90,0.2658,0.71,0.9615
89,,0.89,0.2916,0.61,2.5893
90,,0.87,0.3179,0.71,0.8819
91,,0.92,0.2091,0.75,0.8885
92,,0.90,0.2639,0.67,1.1823
93,,0.92,0.2249,0.66,1.1831
94,,0.90,0.2728,0.68,0.9701
95,,0.89,0.2751,0.65,5.0011
96,,0.88,0.3230,0.69,1.1149
97,,0.90,0.2641,0.72,1.0027
98,,0.91,0.2423,0.66,1.4877
99,,0.90,0.2539,0.66,2.6386
