,notes,train_acc,train_loss,val_acc,val_loss
0,,0.53,1.5408,0.35,2.0948
1,,0.65,1.0492,0.38,1.8369
2,,0.66,0.9741,0.34,3.2726
3,,0.63,1.3387,0.48,2.2396
4,,0.77,0.6840,0.65,1.1844
5,,0.80,0.6040,0.53,2.3944
6,,0.76,0.7558,0.57,1.5654
7,,0.81,0.5506,0.46,1.8839
8,,0.79,0.6096,0.57,1.4815
9,,0.78,0.6298,0.58,1.4056
10,,0.81,0.5442,0.47,2.3811
11,,0.79,0.5926,0.55,1.3042
12,,0.77,0.6848,0.43,2.1205
13,,0.81,0.5588,0.47,1.8477
14,,0.77,0.6934,0.57,1.7111
15,,0.79,0.5909,0.51,1.6019
16,,0.81,0.5757,0.61,1.8967
17,,0.87,0.3456,0.68,1.3281
18,,0.87,0.3505,0.63,1.3037
19,,0.79,0.6447,0.55,1.7280
20,,0.86,0.3682,0.55,1.6018
21,,0.83,0.5337,0.44,2.7658
22,,0.82,0.6306,0.61,1.6236
23,,0.85,0.4103,0.65,1.3378
24,,0.83,0.5297,0.60,1.8822
25,,0.83,0.5472,0.60,1.9729
26,,0.85,0.4185,0.50,2.1922
27,,0.84,0.4734,0.53,2.9749
28,,0.84,0.4885,0.54,1.6535
29,,0.81,0.6148,0.61,1.3851
30,,0.85,0.4677,0.60,1.5907
31,,0.84,0.4425,0.61,1.7345
32,,0.83,0.5442,0.53,1.9559
33,,0.83,0.5537,0.54,1.6281
34,,0.84,0.4881,0.61,1.4856
35,,0.86,0.4111,0.60,1.5492
36,,0.89,0.3180,0.52,2.0083
37,,0.86,0.4089,0.58,1.6818
38,,0.86,0.4295,0.51,2.3397
39,created new SGD optimizer with LR: 0.00100000000000000002,0.89,0.3064,0.61,1.6592
40,,0.85,0.4610,0.62,1.5910
41,,0.86,0.4199,0.58,1.8868
42,,0.90,0.2932,0.61,1.6317
43,,0.88,0.3356,0.55,1.5075
44,,0.87,0.3406,0.64,1.7021
45,,0.88,0.3304,0.64,1.5959
46,,0.87,0.3488,0.61,1.6225
47,,0.88,0.3072,0.58,1.8811
48,,0.88,0.3071,0.66,1.4203
49,,0.89,0.2828,0.62,1.3839
50,,0.87,0.3395,0.60,1.9559
51,,0.86,0.3645,0.55,1.5893
52,,0.88,0.3088,0.58,1.5036
53,,0.87,0.3852,0.60,1.5812
54,,0.88,0.2819,0.60,1.8124
55,,0.86,0.3579,0.60,1.5059
56,,0.90,0.2892,0.56,1.5795
57,,0.88,0.3306,0.59,1.5692
58,,0.92,0.2175,0.60,1.4030
59,,0.86,0.3870,0.65,1.4090
60,,0.88,0.3581,0.63,1.4148
61,,0.87,0.3300,0.59,1.7674
62,,0.88,0.3307,0.66,1.5216
63,,0.90,0.2854,0.52,1.8663
64,,0.90,0.2632,0.62,1.4275
65,,0.88,0.3258,0.64,1.4955
66,,0.89,0.2949,0.60,1.6614
67,,0.85,0.4090,0.63,1.5641
68,,0.89,0.2678,0.60,1.6944
69,,0.90,0.2642,0.59,1.5845
70,,0.89,0.3170,0.63,1.4868
71,,0.87,0.3720,0.59,1.4262
72,,0.90,0.2916,0.64,1.5234
73,,0.89,0.3133,0.63,1.4746
74,,0.90,0.2787,0.59,1.6839
75,,0.89,0.3302,0.65,1.5343
76,,0.88,0.3426,0.59,1.5643
77,,0.86,0.3276,0.56,1.8098
78,,0.88,0.3508,0.60,1.5284
79,created new SGD optimizer with LR: 0.0001,0.88,0.2965,0.63,1.5237
80,,0.89,0.2909,0.63,1.5217
81,,0.89,0.2699,0.60,1.8685
82,,0.90,0.2733,0.56,1.6800
83,,0.90,0.2684,0.58,1.4360
84,,0.90,0.2628,0.52,2.0012
85,,0.90,0.2603,0.64,1.7253
86,,0.89,0.2838,0.57,1.5422
87,,0.90,0.2534,0.63,1.6987
88,,0.92,0.2116,0.60,1.5082
89,,0.90,0.2684,0.59,1.4947
90,,0.90,0.2746,0.56,1.7813
91,,0.86,0.3439,0.60,1.4974
92,,0.88,0.3761,0.59,1.7325
93,,0.91,0.2578,0.58,1.5607
94,,0.90,0.2362,0.61,1.6318
95,,0.93,0.1958,0.57,1.5991
96,,0.91,0.2249,0.62,1.4546
97,,0.91,0.2230,0.60,1.6661
98,,0.87,0.2853,0.61,1.8379
99,,0.90,0.2769,0.58,1.7422
