,notes,train_acc,train_loss,val_acc,val_loss
0,,0.43,1.5832,0.51,1.4542
1,,0.50,1.3618,0.52,1.3687
2,,0.53,1.2234,0.54,1.2383
3,,0.57,1.1916,0.55,1.2753
4,,0.57,1.1363,0.53,1.2668
5,,0.60,1.0534,0.58,1.2006
6,,0.63,1.0140,0.54,1.1579
7,,0.66,0.9834,0.55,1.1631
8,,0.64,0.9665,0.60,1.0467
9,,0.68,0.8794,0.59,1.0742
10,,0.68,0.8826,0.59,1.0124
11,,0.68,0.8868,0.62,1.0736
12,,0.65,0.8721,0.57,1.0404
13,,0.72,0.7761,0.62,1.0121
14,,0.73,0.7513,0.56,1.1388
15,,0.71,0.7727,0.57,1.0819
16,,0.72,0.7574,0.59,1.0727
17,,0.73,0.7278,0.59,1.0281
18,,0.73,0.7241,0.58,1.0260
19,,0.76,0.6836,0.61,1.0393
20,,0.76,0.6888,0.58,0.9785
21,,0.78,0.6362,0.57,1.0342
22,,0.76,0.6691,0.60,1.0194
23,,0.76,0.6557,0.49,1.1193
24,,0.77,0.6525,0.56,1.0833
25,,0.74,0.6962,0.58,1.1155
26,,0.74,0.6933,0.59,0.9945
27,,0.76,0.6911,0.57,1.0287
28,,0.77,0.6623,0.55,1.0635
29,,0.76,0.6431,0.55,1.1460
30,,0.77,0.6484,0.57,1.1038
31,,0.81,0.5791,0.58,1.0791
32,,0.80,0.5999,0.55,1.0482
33,,0.81,0.5566,0.64,0.9713
34,,0.78,0.6143,0.59,1.0249
35,,0.80,0.5303,0.51,1.1843
36,,0.77,0.6154,0.55,1.1200
37,,0.78,0.5920,0.62,0.9725
38,,0.80,0.5637,0.59,1.0349
39,created new SGD optimizer with LR: 0.00100000000000000002,0.82,0.5185,0.65,0.9745
40,,0.78,0.5785,0.58,1.0501
41,,0.80,0.5622,0.56,1.0854
42,,0.85,0.4985,0.59,0.9992
43,,0.83,0.5121,0.63,0.9512
44,,0.83,0.5082,0.62,1.0454
45,,0.80,0.5771,0.60,1.0388
46,,0.83,0.5204,0.65,0.9678
47,,0.81,0.5493,0.61,1.0317
48,,0.82,0.5561,0.59,1.0446
49,,0.82,0.5283,0.62,1.0237
50,,0.82,0.5102,0.63,0.9764
51,,0.84,0.5180,0.64,1.0045
52,,0.81,0.5365,0.59,1.0074
53,,0.83,0.5136,0.63,0.9128
54,,0.80,0.5727,0.60,1.0055
55,,0.82,0.5415,0.60,1.0238
56,,0.82,0.5059,0.58,0.9864
57,,0.82,0.5274,0.51,1.3375
58,,0.83,0.5089,0.58,1.0234
59,,0.82,0.5077,0.63,1.0192
60,,0.82,0.5093,0.65,1.0287
61,,0.84,0.5023,0.58,1.0563
62,,0.82,0.5173,0.62,1.0344
63,,0.86,0.4754,0.63,0.9793
64,,0.82,0.5279,0.58,1.0514
65,,0.81,0.5482,0.59,1.0535
66,,0.82,0.5072,0.59,1.0928
67,,0.84,0.4847,0.59,1.0483
68,,0.82,0.5208,0.60,1.0289
69,,0.82,0.5213,0.60,1.0069
70,,0.82,0.5153,0.59,0.9817
71,,0.81,0.5516,0.57,1.0758
72,,0.83,0.5101,0.59,1.0466
73,,0.85,0.4724,0.59,1.0184
74,,0.82,0.5276,0.58,1.0695
75,,0.82,0.5329,0.64,0.9398
76,,0.84,0.5061,0.61,1.0168
77,,0.84,0.4779,0.60,1.0570
78,,0.84,0.4922,0.59,1.0212
79,created new SGD optimizer with LR: 0.0001,0.80,0.5377,0.58,1.0357
80,,0.86,0.4748,0.59,1.0762
81,,0.82,0.5277,0.62,1.0334
82,,0.83,0.5004,0.56,1.1518
83,,0.81,0.5159,0.50,1.4490
84,,0.84,0.4898,0.57,1.1592
85,,0.83,0.5122,0.55,1.1758
86,,0.84,0.4933,0.58,1.0602
87,,0.83,0.5050,0.55,1.1211
88,,0.83,0.5090,0.55,1.1736
89,,0.82,0.5237,0.61,0.9999
90,,0.80,0.5753,0.57,1.1964
91,,0.83,0.4990,0.62,1.0638
92,,0.84,0.4942,0.63,1.0198
93,,0.83,0.5102,0.62,1.0042
94,,0.84,0.5002,0.64,0.9898
95,,0.80,0.5365,0.54,1.1416
96,,0.83,0.5098,0.62,1.0547
97,,0.84,0.4907,0.58,1.0638
98,,0.83,0.5210,0.60,0.9256
99,,0.82,0.5178,0.55,1.1489
