,notes,train_acc,train_loss,val_acc,val_loss
0,,0.53,2.8406,0.50,4.6803
1,,0.60,2.6501,0.48,4.6232
2,,0.60,3.0104,0.27,16.0216
3,,0.59,4.0152,0.57,4.5870
4,,0.64,2.7766,0.65,5.4568
5,,0.65,2.7825,0.65,2.6312
6,,0.66,2.8893,0.34,9.1934
7,,0.65,2.8192,0.39,5.6572
8,,0.68,2.8571,0.56,5.9055
9,,0.67,2.6816,0.47,6.9678
10,,0.68,2.5951,0.58,7.8700
11,,0.69,2.2257,0.45,4.8463
12,,0.71,2.1940,0.45,3.6442
13,,0.69,2.4197,0.54,3.0564
14,,0.71,2.2303,0.35,6.3594
15,,0.73,2.2719,0.62,6.1543
16,,0.71,2.3689,0.53,4.4275
17,,0.71,2.3908,0.58,6.8478
18,,0.70,2.4305,0.55,5.0302
19,,0.73,2.1851,0.72,2.5302
20,,0.72,1.8556,0.48,4.1071
21,,0.71,2.2914,0.69,3.3737
22,,0.74,2.0041,0.69,2.0340
23,,0.73,1.9274,0.67,2.0591
24,,0.71,2.1461,0.50,9.3810
25,,0.72,2.1213,0.67,4.0173
26,,0.73,2.0432,0.43,5.4170
27,,0.73,1.9464,0.49,3.4000
28,,0.76,1.8531,0.51,3.7483
29,,0.74,1.8434,0.62,2.5241
30,,0.75,1.7097,0.71,2.8560
31,,0.74,1.8338,0.55,4.8351
32,,0.73,2.0483,0.58,4.1381
33,,0.74,1.8710,0.49,5.4750
34,,0.75,2.0635,0.46,4.2753
35,,0.75,2.1130,0.64,2.5216
36,,0.73,2.0795,0.32,8.8291
37,,0.73,2.3291,0.52,5.1116
38,,0.76,1.8856,0.66,3.9242
39,created new SGD optimizer with LR: 0.00100000000000000002,0.74,1.8021,0.55,4.2307
40,,0.75,1.9011,0.45,5.2371
41,,0.77,1.5625,0.69,1.6920
42,,0.78,1.2411,0.73,1.5968
43,,0.79,1.1677,0.72,1.5645
44,,0.79,1.1864,0.73,1.4647
45,,0.81,1.1195,0.77,1.4065
46,,0.79,1.1402,0.72,1.5215
47,,0.79,1.1612,0.75,1.3625
48,,0.79,1.1665,0.76,1.3529
49,,0.79,1.1030,0.74,1.3029
50,,0.80,1.0400,0.71,1.6135
51,,0.81,0.9951,0.78,1.4117
52,,0.82,1.0631,0.77,1.3071
53,,0.80,0.9988,0.74,1.3225
54,,0.80,1.0483,0.77,1.2636
55,,0.82,0.9206,0.77,1.1887
56,,0.81,0.9693,0.73,1.2464
57,,0.81,0.9628,0.78,1.2530
58,,0.82,0.8783,0.77,1.1592
59,,0.83,0.8190,0.74,1.1822
60,,0.81,0.9748,0.74,1.3015
61,,0.81,0.9660,0.72,1.3483
62,,0.82,0.8959,0.72,1.4806
63,,0.81,0.9322,0.80,1.1959
64,,0.82,0.8680,0.76,1.2831
65,,0.81,0.9203,0.77,1.1461
66,,0.81,0.9074,0.77,1.1358
67,,0.82,0.8143,0.77,1.0968
68,,0.81,0.9033,0.78,1.1266
69,,0.82,0.8378,0.75,1.1800
70,,0.82,0.9086,0.78,1.1022
71,,0.81,0.8502,0.80,1.0827
72,,0.82,0.8639,0.80,1.0723
73,,0.83,0.7780,0.76,1.1345
74,,0.82,0.8705,0.77,1.0383
75,,0.83,0.8030,0.78,1.0562
76,,0.81,0.8946,0.75,1.0985
77,,0.82,0.8446,0.77,1.0749
78,,0.84,0.7378,0.76,1.0503
79,created new SGD optimizer with LR: 0.0001,0.83,0.8109,0.79,1.0332
80,,0.83,0.7814,0.77,1.0932
81,,0.84,0.7248,0.78,1.0278
82,,0.83,0.7610,0.78,1.0308
83,,0.82,0.7633,0.77,1.0231
84,,0.83,0.7341,0.77,1.0335
85,,0.82,0.7953,0.78,1.0225
86,,0.83,0.8135,0.78,1.0169
87,,0.82,0.7276,0.77,1.0190
88,,0.84,0.6847,0.78,1.0210
89,,0.84,0.6817,0.78,1.0246
90,,0.83,0.7284,0.77,1.0144
91,,0.83,0.6808,0.79,1.0106
92,,0.83,0.7506,0.78,1.0046
93,,0.84,0.6960,0.78,1.0098
94,,0.82,0.7681,0.78,1.0007
95,,0.82,0.7719,0.78,0.9956
96,,0.84,0.7131,0.79,0.9915
97,,0.84,0.6814,0.79,0.9953
98,,0.84,0.7557,0.78,1.0020
99,,0.83,0.7185,0.77,1.0117
