,notes,train_acc,train_loss,val_acc,val_loss
0,,0.61,1.1687,0.65,1.2710
1,,0.71,0.7890,0.64,1.0201
2,,0.78,0.5820,0.62,1.1144
3,,0.82,0.4866,0.68,1.0171
4,,0.85,0.4100,0.68,0.7575
5,,0.86,0.3663,0.69,0.9175
6,created new Adam optimizer with LR: 0.00100000000000000002,0.86,0.3657,0.68,0.8349
7,,0.86,0.3945,0.67,0.8477
8,,0.88,0.3071,0.75,0.6426
9,,0.90,0.2481,0.75,0.6200
10,,0.91,0.2401,0.73,0.6351
11,,0.91,0.2400,0.75,0.6011
12,,0.92,0.2432,0.74,0.6111
13,created new Adam optimizer with LR: 0.0001,0.92,0.2185,0.75,0.6131
14,,0.91,0.2283,0.78,0.5714
15,,0.94,0.2040,0.77,0.5756
16,,0.92,0.2188,0.77,0.5805
17,,0.92,0.2215,0.75,0.5808
18,,0.93,0.2166,0.76,0.5811
19,,0.92,0.2175,0.75,0.5792
20,created new Adam optimizer with LR: 0.00001,0.93,0.2148,0.75,0.5840
21,,0.92,0.2173,0.76,0.5805
22,,0.92,0.2116,0.76,0.5801
23,,0.93,0.2119,0.76,0.5802
24,,0.92,0.2204,0.76,0.5803
25,,0.93,0.2096,0.76,0.5806
26,,0.93,0.2111,0.75,0.5804
27,created new Adam optimizer with LR: 0.000001,0.93,0.2016,0.75,0.5806
28,,0.93,0.2094,0.76,0.5815
29,,0.93,0.1985,0.76,0.5815
30,,0.93,0.2088,0.76,0.5815
31,,0.92,0.2069,0.76,0.5814
32,,0.93,0.2018,0.76,0.5814
33,,0.92,0.2192,0.76,0.5814
34,created new Adam optimizer with LR: 0.0000001,0.92,0.2129,0.76,0.5815
35,,0.92,0.2056,0.76,0.5815
36,,0.92,0.2211,0.76,0.5815
37,,0.93,0.2096,0.76,0.5815
38,,0.93,0.2146,0.76,0.5815
39,,0.93,0.2061,0.76,0.5815
40,,0.92,0.2117,0.76,0.5815
41,created new Adam optimizer with LR: 0.00000001,0.93,0.2035,0.76,0.5815
42,,0.93,0.2101,0.76,0.5815
43,,0.93,0.2082,0.76,0.5815
44,,0.93,0.1988,0.76,0.5815
45,,0.94,0.1930,0.76,0.5815
46,,0.92,0.2205,0.76,0.5815
47,,0.92,0.2148,0.76,0.5815
48,created new Adam optimizer with LR: 0.000000001,0.92,0.2143,0.76,0.5815
49,,0.93,0.2003,0.76,0.5815
50,,0.92,0.2173,0.76,0.5815
51,,0.91,0.2371,0.76,0.5815
52,,0.93,0.2102,0.76,0.5815
53,,0.92,0.2107,0.76,0.5815
54,,0.93,0.2062,0.76,0.5815
55,created new Adam optimizer with LR: 0.0000000001,0.92,0.2138,0.76,0.5815
56,,0.94,0.1998,0.76,0.5815
57,,0.93,0.2052,0.76,0.5815
58,,0.92,0.2084,0.76,0.5815
59,,0.93,0.2059,0.76,0.5815
60,,0.92,0.2248,0.76,0.5815
61,,0.93,0.1997,0.76,0.5815
62,created new Adam optimizer with LR: 0.00000000001,0.93,0.2104,0.76,0.5815
63,,0.93,0.2090,0.76,0.5815
64,,0.93,0.2114,0.76,0.5815
65,,0.92,0.2088,0.76,0.5815
66,,0.92,0.2227,0.76,0.5815
67,,0.92,0.2114,0.76,0.5815
68,,0.93,0.2139,0.75,0.5815
69,created new Adam optimizer with LR: 0.000000000001,0.93,0.2065,0.76,0.5815
70,,0.93,0.2106,0.76,0.5815
71,,0.92,0.2167,0.76,0.5815
72,,0.94,0.2046,0.76,0.5815
73,,0.93,0.2136,0.76,0.5815
74,,0.92,0.2204,0.76,0.5815
75,,0.92,0.2225,0.76,0.5815
76,created new Adam optimizer with LR: 0.0000000000001,0.93,0.2044,0.76,0.5815
77,,0.93,0.2037,0.76,0.5815
78,,0.92,0.2260,0.76,0.5815
79,,0.93,0.2111,0.76,0.5815
80,,0.92,0.2114,0.76,0.5815
81,,0.92,0.2187,0.76,0.5815
82,,0.92,0.2117,0.76,0.5815
83,created new Adam optimizer with LR: 0.00000000000001,0.93,0.1992,0.76,0.5815
84,,0.92,0.2206,0.76,0.5815
85,,0.93,0.2129,0.76,0.5815
86,,0.93,0.2126,0.75,0.5815
87,,0.93,0.2053,0.76,0.5815
88,,0.93,0.2127,0.76,0.5815
89,,0.92,0.2197,0.76,0.5815
90,created new Adam optimizer with LR: 0.000000000000001,0.93,0.2100,0.76,0.5815
91,,0.93,0.2110,0.76,0.5815
92,,0.92,0.2111,0.76,0.5815
93,,0.92,0.2151,0.76,0.5815
94,,0.93,0.2097,0.76,0.5815
95,,0.92,0.2132,0.76,0.5815
96,,0.92,0.2180,0.76,0.5815
97,created new Adam optimizer with LR: 0.0000000000000001,0.93,0.2123,0.76,0.5815
98,,0.93,0.2104,0.76,0.5815
99,,0.93,0.1984,0.76,0.5815
