,notes,train_acc,train_loss,val_acc,val_loss
0,,0.58,1.3893,0.60,1.9715
1,,0.65,1.1872,0.68,1.2162
2,,0.75,0.7100,0.68,1.2709
3,,0.76,0.6576,0.65,1.7011
4,,0.77,0.6866,0.68,1.6570
5,,0.78,0.6903,0.68,1.2297
6,created new SGD optimizer with LR: 0.00100000000000000002,0.82,0.5682,0.59,1.9521
7,,0.80,0.6228,0.61,1.8574
8,,0.81,0.5927,0.75,0.7689
9,,0.86,0.3919,0.71,0.7049
10,,0.87,0.3600,0.73,0.7214
11,,0.87,0.3344,0.71,0.8518
12,,0.88,0.3458,0.73,0.7483
13,created new SGD optimizer with LR: 0.0001,0.87,0.3252,0.73,0.6735
14,,0.88,0.3276,0.71,0.8409
15,,0.87,0.3485,0.72,0.7060
16,,0.88,0.3022,0.73,0.6830
17,,0.88,0.3090,0.72,0.6837
18,,0.88,0.3134,0.71,0.6821
19,,0.88,0.3199,0.73,0.6707
20,created new SGD optimizer with LR: 0.00001,0.88,0.3318,0.72,0.6806
21,,0.88,0.3118,0.72,0.6783
22,,0.90,0.2961,0.73,0.6778
23,,0.88,0.3154,0.73,0.6781
24,,0.89,0.2970,0.72,0.6790
25,,0.89,0.2965,0.72,0.6793
26,,0.89,0.3020,0.71,0.6799
27,created new SGD optimizer with LR: 0.000001,0.88,0.3045,0.71,0.6814
28,,0.90,0.2759,0.71,0.6796
29,,0.88,0.3187,0.71,0.6796
30,,0.88,0.3189,0.71,0.6796
31,,0.89,0.3051,0.71,0.6796
32,,0.89,0.2922,0.71,0.6796
33,,0.89,0.3037,0.71,0.6795
34,created new SGD optimizer with LR: 0.0000001,0.89,0.3038,0.71,0.6796
35,,0.89,0.2907,0.71,0.6795
36,,0.88,0.2936,0.71,0.6795
37,,0.87,0.3380,0.71,0.6795
38,,0.89,0.3084,0.71,0.6795
39,,0.89,0.2913,0.71,0.6795
40,,0.89,0.3043,0.72,0.6795
41,created new SGD optimizer with LR: 0.00000001,0.88,0.3148,0.71,0.6795
42,,0.89,0.2928,0.71,0.6795
43,,0.89,0.3024,0.72,0.6795
44,,0.88,0.3093,0.71,0.6795
45,,0.88,0.3044,0.71,0.6795
46,,0.89,0.3064,0.71,0.6795
47,,0.88,0.3032,0.71,0.6795
48,created new SGD optimizer with LR: 0.000000001,0.89,0.2974,0.71,0.6795
49,,0.88,0.2968,0.71,0.6795
50,,0.88,0.2990,0.71,0.6795
51,,0.89,0.3036,0.71,0.6795
52,,0.88,0.3042,0.71,0.6795
53,,0.88,0.3059,0.72,0.6795
54,,0.90,0.2879,0.71,0.6795
55,created new SGD optimizer with LR: 0.0000000001,0.87,0.3213,0.71,0.6795
56,,0.88,0.2980,0.71,0.6795
57,,0.89,0.2861,0.71,0.6795
58,,0.89,0.2970,0.71,0.6795
59,,0.89,0.2964,0.71,0.6795
60,,0.87,0.3122,0.71,0.6795
61,,0.88,0.3174,0.71,0.6795
62,created new SGD optimizer with LR: 0.00000000001,0.88,0.3196,0.71,0.6795
63,,0.88,0.3004,0.71,0.6795
64,,0.88,0.3013,0.71,0.6795
65,,0.88,0.3203,0.71,0.6795
66,,0.89,0.3131,0.71,0.6795
67,,0.88,0.3179,0.71,0.6795
68,,0.88,0.3068,0.71,0.6795
69,created new SGD optimizer with LR: 0.000000000001,0.89,0.3024,0.71,0.6795
70,,0.87,0.3220,0.71,0.6795
71,,0.89,0.2997,0.71,0.6795
72,,0.88,0.3153,0.72,0.6795
73,,0.89,0.3047,0.71,0.6795
74,,0.88,0.3075,0.71,0.6795
75,,0.88,0.3025,0.71,0.6795
76,created new SGD optimizer with LR: 0.0000000000001,0.88,0.3244,0.71,0.6795
77,,0.88,0.3051,0.71,0.6795
78,,0.88,0.3174,0.72,0.6795
79,,0.89,0.2915,0.72,0.6795
80,,0.89,0.3017,0.71,0.6795
81,,0.87,0.3194,0.71,0.6795
82,,0.89,0.2863,0.71,0.6795
83,created new SGD optimizer with LR: 0.00000000000001,0.89,0.3275,0.71,0.6795
84,,0.89,0.2901,0.71,0.6795
85,,0.88,0.3062,0.72,0.6795
86,,0.88,0.3062,0.71,0.6795
87,,0.87,0.3192,0.71,0.6795
88,,0.88,0.3115,0.71,0.6795
89,,0.88,0.3188,0.71,0.6795
90,created new SGD optimizer with LR: 0.000000000000001,0.88,0.3069,0.71,0.6795
91,,0.89,0.3042,0.71,0.6795
92,,0.89,0.3084,0.71,0.6795
93,,0.88,0.3039,0.71,0.6795
94,,0.88,0.3116,0.72,0.6795
95,,0.90,0.2918,0.71,0.6795
96,,0.88,0.3155,0.71,0.6795
97,created new SGD optimizer with LR: 0.0000000000000001,0.89,0.3016,0.71,0.6795
98,,0.88,0.3116,0.71,0.6795
99,,0.89,0.2975,0.72,0.6795
