,notes,train_acc,train_loss,val_acc,val_loss
0,,0.61,1.1427,0.49,1.3966
1,,0.74,0.6759,0.58,1.2148
2,,0.79,0.5592,0.57,1.2047
3,,0.82,0.4606,0.64,1.1090
4,,0.84,0.4393,0.62,0.9762
5,,0.86,0.3870,0.72,0.7944
6,created new Adam optimizer with LR: 0.00100000000000000002,0.86,0.3647,0.61,1.1436
7,,0.87,0.3501,0.65,1.0190
8,,0.90,0.2863,0.72,0.6326
9,,0.91,0.2451,0.74,0.6430
10,,0.91,0.2476,0.76,0.6392
11,,0.90,0.2429,0.76,0.6111
12,,0.91,0.2347,0.76,0.6220
13,created new Adam optimizer with LR: 0.0001,0.91,0.2392,0.79,0.6127
14,,0.91,0.2278,0.75,0.6255
15,,0.92,0.2196,0.77,0.6117
16,,0.92,0.2124,0.76,0.6085
17,,0.92,0.2180,0.77,0.6092
18,,0.93,0.2028,0.77,0.6082
19,,0.92,0.2297,0.77,0.6049
20,created new Adam optimizer with LR: 0.00001,0.92,0.2148,0.78,0.6043
21,,0.93,0.2069,0.77,0.6064
22,,0.93,0.2095,0.77,0.6064
23,,0.92,0.2115,0.78,0.6061
24,,0.93,0.2078,0.78,0.6055
25,,0.93,0.2076,0.77,0.6057
26,,0.93,0.2181,0.78,0.6052
27,created new Adam optimizer with LR: 0.000001,0.93,0.2128,0.77,0.6047
28,,0.93,0.2116,0.77,0.6049
29,,0.93,0.1963,0.77,0.6049
30,,0.92,0.2134,0.77,0.6048
31,,0.92,0.2208,0.77,0.6048
32,,0.91,0.2319,0.77,0.6049
33,,0.93,0.2066,0.77,0.6048
34,created new Adam optimizer with LR: 0.0000001,0.92,0.2241,0.77,0.6048
35,,0.93,0.2090,0.77,0.6048
36,,0.93,0.2217,0.77,0.6048
37,,0.93,0.2117,0.77,0.6048
38,,0.93,0.2048,0.77,0.6048
39,,0.93,0.2141,0.77,0.6048
40,,0.92,0.2190,0.77,0.6048
41,created new Adam optimizer with LR: 0.00000001,0.92,0.2140,0.77,0.6048
42,,0.93,0.2082,0.77,0.6048
43,,0.92,0.2212,0.77,0.6048
44,,0.93,0.1980,0.77,0.6048
45,,0.93,0.2167,0.77,0.6048
46,,0.92,0.2214,0.77,0.6048
47,,0.92,0.2188,0.77,0.6048
48,created new Adam optimizer with LR: 0.000000001,0.92,0.2143,0.77,0.6048
49,,0.93,0.2112,0.77,0.6048
50,,0.93,0.2054,0.77,0.6048
51,,0.92,0.2165,0.77,0.6048
52,,0.92,0.2137,0.77,0.6048
53,,0.92,0.2263,0.77,0.6048
54,,0.92,0.2112,0.77,0.6048
55,created new Adam optimizer with LR: 0.0000000001,0.93,0.2080,0.77,0.6048
56,,0.92,0.2149,0.77,0.6048
57,,0.94,0.1950,0.77,0.6048
58,,0.92,0.2169,0.77,0.6048
59,,0.93,0.2074,0.77,0.6048
60,,0.93,0.2040,0.77,0.6048
61,,0.92,0.2162,0.77,0.6048
62,created new Adam optimizer with LR: 0.00000000001,0.93,0.2125,0.77,0.6048
63,,0.93,0.2019,0.77,0.6048
64,,0.93,0.2065,0.77,0.6048
65,,0.91,0.2259,0.77,0.6048
66,,0.93,0.2000,0.77,0.6048
67,,0.93,0.2115,0.77,0.6048
68,,0.93,0.2058,0.77,0.6048
69,created new Adam optimizer with LR: 0.000000000001,0.92,0.2124,0.77,0.6048
70,,0.92,0.2075,0.77,0.6048
71,,0.93,0.2071,0.77,0.6048
72,,0.92,0.2186,0.77,0.6048
73,,0.91,0.2282,0.77,0.6048
74,,0.93,0.2023,0.77,0.6048
75,,0.92,0.2051,0.77,0.6048
76,created new Adam optimizer with LR: 0.0000000000001,0.93,0.2121,0.77,0.6048
77,,0.93,0.2070,0.77,0.6048
78,,0.93,0.2138,0.77,0.6048
79,,0.93,0.2061,0.77,0.6048
80,,0.93,0.2118,0.77,0.6048
81,,0.93,0.2138,0.77,0.6048
82,,0.93,0.2001,0.77,0.6048
83,created new Adam optimizer with LR: 0.00000000000001,0.93,0.2136,0.77,0.6048
84,,0.93,0.2104,0.77,0.6048
85,,0.91,0.2351,0.77,0.6048
86,,0.93,0.2068,0.77,0.6048
87,,0.92,0.2196,0.77,0.6048
88,,0.92,0.2166,0.77,0.6048
89,,0.92,0.2160,0.77,0.6048
90,created new Adam optimizer with LR: 0.000000000000001,0.93,0.2057,0.77,0.6048
91,,0.92,0.2156,0.77,0.6048
92,,0.92,0.2243,0.77,0.6048
93,,0.92,0.2169,0.77,0.6048
94,,0.92,0.2128,0.77,0.6048
95,,0.93,0.2094,0.77,0.6048
96,,0.92,0.2161,0.77,0.6048
97,created new Adam optimizer with LR: 0.0000000000000001,0.94,0.1962,0.77,0.6048
98,,0.92,0.2168,0.77,0.6048
99,,0.92,0.2100,0.77,0.6048
