,notes,train_acc,train_loss,val_acc,val_loss
0,,0.38,1.8152,0.43,1.6621
1,,0.42,1.6016,0.43,1.6614
2,,0.39,1.5641,0.43,1.6045
3,,0.39,1.5711,0.43,1.5713
4,,0.42,1.5531,0.43,1.5247
5,,0.42,1.5489,0.43,1.5443
6,created new SGD optimizer with LR: 0.00100000000000000002,0.42,1.5332,0.43,1.5118
7,,0.41,1.5580,0.43,1.5290
8,,0.42,1.5353,0.43,1.5270
9,,0.42,1.5294,0.43,1.5353
10,,0.42,1.5284,0.43,1.5221
11,,0.42,1.5292,0.43,1.5327
12,,0.41,1.5241,0.41,1.5246
13,created new SGD optimizer with LR: 0.0001,0.43,1.5237,0.42,1.5250
14,,0.42,1.5267,0.42,1.5208
15,,0.42,1.5207,0.42,1.5222
16,,0.42,1.5224,0.41,1.5233
17,,0.42,1.5209,0.41,1.5242
18,,0.42,1.5209,0.41,1.5249
19,,0.42,1.5202,0.41,1.5257
20,created new SGD optimizer with LR: 0.00001,0.42,1.5227,0.41,1.5257
21,,0.42,1.5217,0.41,1.5263
22,,0.43,1.5173,0.41,1.5264
23,,0.43,1.5201,0.41,1.5263
24,,0.43,1.5201,0.41,1.5264
25,,0.42,1.5207,0.42,1.5264
26,,0.42,1.5193,0.42,1.5265
27,created new SGD optimizer with LR: 0.000001,0.42,1.5201,0.41,1.5265
28,,0.41,1.5208,0.42,1.5266
29,,0.42,1.5205,0.41,1.5266
30,,0.43,1.5205,0.41,1.5266
31,,0.41,1.5224,0.41,1.5266
32,,0.42,1.5224,0.41,1.5266
33,,0.42,1.5212,0.42,1.5266
34,created new SGD optimizer with LR: 0.0000001,0.43,1.5225,0.42,1.5267
35,,0.42,1.5230,0.42,1.5267
36,,0.42,1.5214,0.41,1.5267
37,,0.42,1.5206,0.42,1.5267
38,,0.42,1.5228,0.42,1.5267
39,,0.42,1.5219,0.41,1.5267
40,,0.43,1.5199,0.41,1.5267
41,created new SGD optimizer with LR: 0.00000001,0.43,1.5218,0.42,1.5267
42,,0.42,1.5189,0.41,1.5267
43,,0.43,1.5197,0.41,1.5267
44,,0.42,1.5199,0.42,1.5267
45,,0.42,1.5211,0.41,1.5267
46,,0.43,1.5207,0.41,1.5267
47,,0.42,1.5211,0.42,1.5267
48,created new SGD optimizer with LR: 0.000000001,0.41,1.5212,0.41,1.5267
49,,0.42,1.5226,0.41,1.5267
50,,0.43,1.5228,0.41,1.5267
51,,0.42,1.5217,0.42,1.5267
52,,0.42,1.5206,0.41,1.5267
53,,0.42,1.5205,0.41,1.5267
54,,0.43,1.5208,0.41,1.5267
55,created new SGD optimizer with LR: 0.0000000001,0.44,1.5210,0.42,1.5267
56,,0.43,1.5211,0.41,1.5267
57,,0.43,1.5228,0.42,1.5267
58,,0.42,1.5205,0.41,1.5267
59,,0.41,1.5209,0.41,1.5267
60,,0.42,1.5210,0.42,1.5267
61,,0.42,1.5211,0.41,1.5267
62,created new SGD optimizer with LR: 0.00000000001,0.42,1.5196,0.41,1.5267
63,,0.42,1.5208,0.41,1.5267
64,,0.41,1.5220,0.41,1.5267
65,,0.42,1.5199,0.41,1.5267
66,,0.44,1.5190,0.42,1.5267
67,,0.42,1.5201,0.42,1.5267
68,,0.41,1.5220,0.41,1.5267
69,created new SGD optimizer with LR: 0.000000000001,0.42,1.5203,0.41,1.5267
70,,0.42,1.5215,0.41,1.5267
71,,0.42,1.5215,0.41,1.5267
72,,0.42,1.5228,0.41,1.5267
73,,0.42,1.5225,0.42,1.5267
74,,0.42,1.5210,0.41,1.5267
75,,0.42,1.5194,0.41,1.5267
76,created new SGD optimizer with LR: 0.0000000000001,0.42,1.5208,0.42,1.5267
77,,0.42,1.5201,0.41,1.5267
78,,0.43,1.5196,0.42,1.5267
79,,0.42,1.5221,0.41,1.5267
80,,0.42,1.5215,0.42,1.5267
81,,0.42,1.5217,0.42,1.5267
82,,0.41,1.5214,0.41,1.5267
83,created new SGD optimizer with LR: 0.00000000000001,0.42,1.5212,0.41,1.5267
84,,0.42,1.5220,0.41,1.5267
85,,0.42,1.5195,0.41,1.5267
86,,0.43,1.5201,0.41,1.5267
87,,0.42,1.5226,0.41,1.5267
88,,0.43,1.5214,0.41,1.5267
89,,0.41,1.5209,0.42,1.5267
90,created new SGD optimizer with LR: 0.000000000000001,0.42,1.5189,0.41,1.5267
91,,0.42,1.5202,0.41,1.5267
92,,0.42,1.5204,0.42,1.5267
93,,0.42,1.5210,0.42,1.5267
94,,0.43,1.5206,0.41,1.5267
95,,0.43,1.5211,0.42,1.5267
96,,0.41,1.5207,0.42,1.5267
97,created new SGD optimizer with LR: 0.0000000000000001,0.43,1.5217,0.41,1.5267
98,,0.42,1.5198,0.41,1.5267
99,,0.43,1.5215,0.41,1.5267
