,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.4688,0.41,1.6765
1,,0.48,1.5248,0.40,7.4489
2,,0.52,1.3022,0.16,1.6823
3,,0.50,1.3221,0.52,1.7470
4,,0.42,1.5562,0.43,1.5234
5,,0.43,1.5576,0.43,1.5220
6,,0.39,1.5530,0.43,1.5390
7,,0.42,1.5361,0.43,1.5278
8,,0.41,1.4949,0.36,1.7319
9,,0.44,1.4790,0.48,1.4335
10,,0.54,1.2714,0.42,2.3981
11,,0.58,1.1631,0.55,3.2557
12,,0.59,1.1320,0.45,3.2168
13,,0.64,0.9668,0.53,2.5060
14,,0.65,0.9843,0.54,2.3776
15,,0.66,0.8929,0.40,1.5584
16,,0.74,0.7368,0.45,7.3915
17,,0.68,0.8883,0.19,4.5121
18,,0.58,1.1673,0.41,1.6432
19,,0.70,0.8143,0.39,3.5949
20,,0.78,0.6432,0.53,3.1213
21,,0.80,0.5779,0.47,5.1661
22,,0.83,0.5129,0.51,1.7500
23,,0.89,0.3222,0.56,1.8482
24,,0.92,0.2352,0.64,4.2792
25,,0.93,0.2086,0.65,2.1844
26,,0.95,0.1496,0.62,2.9354
27,,0.93,0.2127,0.62,1.9362
28,,0.95,0.1573,0.61,2.1733
29,created new SGD optimizer with LR: 0.00100000000000000002,0.94,0.1595,0.44,3.2669
30,,0.92,0.2766,0.61,1.7629
31,,0.97,0.0815,0.68,1.5200
32,,0.99,0.0287,0.71,1.6758
33,,1.00,0.0205,0.71,1.7545
34,,1.00,0.0108,0.72,1.8731
35,,1.00,0.0106,0.70,1.8033
36,,1.00,0.0094,0.70,1.9816
37,,1.00,0.0149,0.71,1.8756
38,,1.00,0.0051,0.71,1.9331
39,,1.00,0.0033,0.71,1.9797
40,,1.00,0.0043,0.72,2.0265
41,,1.00,0.0031,0.72,2.1258
42,,1.00,0.0050,0.72,2.1195
43,,1.00,0.0042,0.73,2.1065
44,,1.00,0.0053,0.72,2.1723
45,,1.00,0.0027,0.72,2.2248
46,,1.00,0.0022,0.71,2.2837
47,,1.00,0.0032,0.73,2.2343
48,,1.00,0.0024,0.73,2.2517
49,,1.00,0.0017,0.71,2.2978
50,,1.00,0.0018,0.73,2.3306
51,,1.00,0.0023,0.72,2.2887
52,,1.00,0.0012,0.72,2.3073
53,,1.00,0.0030,0.71,2.3417
54,,1.00,0.0015,0.72,2.3651
55,,1.00,0.0016,0.71,2.3673
56,,1.00,0.0010,0.72,2.4176
57,,1.00,0.0023,0.72,2.4386
58,,1.00,0.0024,0.71,2.3622
59,created new SGD optimizer with LR: 0.0001,1.00,0.0011,0.71,2.3915
60,,1.00,0.0024,0.72,2.3519
61,,1.00,0.0011,0.72,2.3530
62,,1.00,0.0012,0.72,2.3594
63,,1.00,0.0012,0.72,2.3628
64,,1.00,0.0022,0.72,2.3713
65,,1.00,0.0013,0.72,2.3752
66,,1.00,0.0036,0.72,2.3773
67,,1.00,0.0014,0.72,2.3827
68,,1.00,0.0013,0.72,2.3788
69,,1.00,0.0011,0.72,2.3795
70,,1.00,0.0035,0.73,2.4353
71,,1.00,0.0013,0.72,2.4368
72,,1.00,0.0009,0.72,2.4425
73,,1.00,0.0011,0.73,2.4359
74,,1.00,0.0010,0.73,2.4376
75,,1.00,0.0019,0.72,2.4367
76,,1.00,0.0013,0.73,2.4304
77,,1.00,0.0009,0.73,2.4319
78,,1.00,0.0016,0.72,2.4227
79,,1.00,0.0017,0.72,2.4297
80,,1.00,0.0006,0.72,2.4259
81,,1.00,0.0007,0.72,2.4289
82,,1.00,0.0009,0.72,2.4249
83,,1.00,0.0009,0.72,2.4289
84,,1.00,0.0018,0.72,2.4389
85,,1.00,0.0011,0.73,2.4404
86,,1.00,0.0013,0.73,2.4439
87,,1.00,0.0009,0.72,2.4467
88,,1.00,0.0009,0.73,2.4486
89,created new SGD optimizer with LR: 0.00001,1.00,0.0015,0.72,2.4542
90,,1.00,0.0006,0.72,2.4551
91,,1.00,0.0011,0.72,2.4549
92,,1.00,0.0007,0.71,2.4549
93,,1.00,0.0010,0.72,2.4551
94,,1.00,0.0008,0.72,2.4560
95,,1.00,0.0011,0.71,2.4563
96,,1.00,0.0027,0.72,2.4557
97,,1.00,0.0021,0.72,2.4555
98,,1.00,0.0016,0.72,2.4555
99,,1.00,0.0010,0.72,2.4558
