,notes,train_acc,train_loss,val_acc,val_loss
0,,0.62,1.0758,0.12,5.9807
1,,0.53,1.3155,0.41,2.6189
2,,0.60,1.1896,0.23,5.7111
3,,0.63,1.0824,0.23,4.2640
4,,0.72,0.8372,0.58,1.9490
5,,0.73,0.7331,0.41,4.3540
6,,0.79,0.6446,0.34,4.3748
7,,0.82,0.5152,0.42,4.3733
8,,0.88,0.3758,0.51,3.8280
9,,0.93,0.2529,0.52,4.3530
10,,0.81,0.5979,0.48,5.4412
11,,0.88,0.3382,0.58,1.8337
12,,0.96,0.1399,0.66,1.4164
13,,0.97,0.0928,0.69,1.3549
14,,0.99,0.0474,0.67,1.8094
15,,0.99,0.0317,0.68,1.8959
16,,0.98,0.0729,0.72,1.4273
17,,0.99,0.0224,0.72,1.2747
18,,0.99,0.0255,0.67,1.7611
19,,1.00,0.0077,0.77,1.4021
20,,1.00,0.0028,0.75,1.7087
21,,1.00,0.0038,0.76,1.5216
22,,1.00,0.0029,0.72,1.5701
23,,1.00,0.0010,0.73,1.4975
24,,1.00,0.0006,0.73,1.5984
25,,1.00,0.0008,0.71,1.9507
26,,1.00,0.0049,0.72,1.7744
27,,1.00,0.0052,0.73,1.7540
28,,1.00,0.0023,0.73,1.5819
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0005,0.75,1.6697
30,,1.00,0.0005,0.74,1.7996
31,,1.00,0.0007,0.74,1.7190
32,,1.00,0.0004,0.73,1.7414
33,,1.00,0.0002,0.73,1.7353
34,,1.00,0.0003,0.73,1.7336
35,,1.00,0.0002,0.73,1.7357
36,,1.00,0.0003,0.73,1.7313
37,,1.00,0.0003,0.73,1.7328
38,,1.00,0.0002,0.73,1.7285
39,,1.00,0.0003,0.73,1.7325
40,,1.00,0.0007,0.73,1.7222
41,,1.00,0.0005,0.73,1.7189
42,,1.00,0.0004,0.73,1.7287
43,,1.00,0.0002,0.73,1.7266
44,,1.00,0.0006,0.73,1.7567
45,,1.00,0.0003,0.72,1.7462
46,,1.00,0.0002,0.73,1.7452
47,,1.00,0.0004,0.73,1.7343
48,,1.00,0.0002,0.73,1.7384
49,,1.00,0.0002,0.73,1.7297
50,,1.00,0.0002,0.73,1.7323
51,,1.00,0.0004,0.74,1.7248
52,,1.00,0.0002,0.74,1.7289
53,,1.00,0.0002,0.73,1.7284
54,,1.00,0.0003,0.73,1.7276
55,,1.00,0.0002,0.73,1.7319
56,,1.00,0.0002,0.73,1.7297
57,,1.00,0.0002,0.73,1.7287
58,,1.00,0.0002,0.73,1.7298
59,created new SGD optimizer with LR: 0.0001,1.00,0.0003,0.74,1.7305
60,,1.00,0.0001,0.74,1.7328
