,notes,train_acc,train_loss,val_acc,val_loss
0,,0.39,1.6171,0.04,2.3451
1,,0.39,1.6069,0.42,1.5908
2,,0.40,1.5892,0.25,1.7285
3,,0.39,1.6022,0.43,1.5447
4,,0.41,1.5765,0.42,1.5267
5,,0.41,1.5746,0.43,1.5254
6,,0.45,1.5671,0.43,1.6335
7,,0.43,1.5813,0.42,1.5325
8,,0.43,1.5698,0.43,1.5255
9,,0.45,1.5587,0.43,1.6497
10,,0.43,1.5847,0.43,1.5333
11,,0.45,1.5687,0.42,1.5532
12,,0.41,1.5728,0.43,1.5253
13,,0.39,1.5640,0.43,1.5376
14,,0.41,1.5644,0.43,1.5308
15,,0.43,1.5574,0.43,1.5310
16,,0.39,1.5617,0.43,1.5240
17,,0.41,1.5655,0.43,1.5234
18,,0.41,1.5658,0.43,1.5272
19,,0.39,1.5642,0.43,1.5225
20,,0.43,1.5609,0.43,1.5232
21,,0.41,1.5733,0.42,1.5310
22,,0.43,1.5640,0.43,1.5215
23,,0.39,1.5594,0.43,1.5285
24,,0.41,1.5622,0.43,1.5227
25,,0.41,1.5636,0.42,1.5306
26,,0.41,1.5612,0.43,1.5266
27,,0.41,1.5680,0.42,1.5260
28,,0.43,1.5573,0.43,1.5400
29,created new Adam optimizer with LR: 0.00100000000000000002,0.41,1.5633,0.42,1.5254
30,,0.43,1.5669,0.43,1.5226
31,,0.43,1.5530,0.43,1.5218
32,,0.41,1.5511,0.42,1.5216
33,,0.41,1.5509,0.43,1.5214
34,,0.45,1.5501,0.43,1.5214
35,,0.41,1.5503,0.43,1.5213
36,,0.39,1.5499,0.43,1.5216
37,,0.41,1.5506,0.43,1.5223
38,,0.41,1.5497,0.42,1.5217
39,,0.41,1.5499,0.43,1.5214
40,,0.39,1.5503,0.42,1.5215
41,,0.41,1.5502,0.43,1.5216
42,,0.41,1.5504,0.43,1.5216
43,,0.43,1.5501,0.43,1.5215
44,,0.43,1.5503,0.42,1.5214
45,,0.41,1.5497,0.43,1.5215
46,,0.41,1.5496,0.43,1.5220
47,,0.45,1.5501,0.43,1.5215
48,,0.39,1.5498,0.42,1.5217
49,,0.41,1.5502,0.43,1.5229
50,,0.41,1.5503,0.42,1.5225
51,,0.41,1.5496,0.43,1.5224
52,,0.41,1.5503,0.43,1.5222
53,,0.41,1.5497,0.43,1.5219
54,,0.41,1.5498,0.42,1.5220
55,,0.41,1.5499,0.43,1.5224
56,,0.39,1.5504,0.43,1.5227
57,,0.41,1.5502,0.43,1.5227
