,notes,train_acc,train_loss,val_acc,val_loss
0,,0.39,1.5930,0.16,2.7581
1,,0.37,1.6343,0.43,1.5314
2,,0.39,1.5797,0.42,1.5383
3,,0.42,1.5010,0.42,1.6803
4,,0.46,1.4951,0.41,1.9165
5,,0.49,1.3690,0.19,2.1448
6,,0.45,1.4930,0.27,2.8550
7,,0.54,1.2570,0.36,2.6100
8,,0.60,1.1131,0.48,3.1247
9,,0.66,1.0226,0.44,2.9910
10,,0.71,0.8298,0.55,1.4357
11,,0.74,0.7397,0.26,4.5261
12,,0.48,1.4177,0.44,1.5626
13,,0.73,0.7714,0.36,1.9484
14,,0.76,0.6589,0.34,2.9638
15,,0.82,0.5176,0.64,1.2239
16,,0.86,0.3648,0.48,3.2813
17,,0.90,0.2890,0.62,1.8606
18,,0.92,0.2302,0.66,1.4409
19,,0.98,0.0747,0.63,1.5562
20,,0.97,0.0894,0.34,4.5400
21,,0.96,0.1208,0.66,1.4298
22,,0.99,0.0472,0.71,1.7246
23,,0.99,0.0270,0.68,1.6789
24,,0.99,0.0328,0.69,1.3687
25,,1.00,0.0164,0.75,1.4985
26,,0.99,0.0170,0.74,1.3402
27,,1.00,0.0070,0.49,4.7214
28,,0.54,1.3120,0.47,3.4629
29,created new SGD optimizer with LR: 0.00100000000000000002,0.88,0.3723,0.66,1.9066
30,,0.97,0.0989,0.62,2.2282
31,,0.99,0.0351,0.75,1.1935
32,,1.00,0.0111,0.75,1.1799
33,,1.00,0.0082,0.76,1.2207
34,,1.00,0.0052,0.76,1.1918
35,,1.00,0.0043,0.75,1.2202
36,,1.00,0.0037,0.75,1.2311
37,,1.00,0.0039,0.73,1.2183
38,,1.00,0.0023,0.73,1.2210
39,,1.00,0.0024,0.73,1.2316
40,,1.00,0.0027,0.73,1.2449
41,,1.00,0.0022,0.73,1.2485
42,,1.00,0.0028,0.73,1.2764
43,,1.00,0.0030,0.74,1.2897
44,,1.00,0.0027,0.74,1.2554
45,,1.00,0.0019,0.73,1.2508
46,,1.00,0.0026,0.73,1.2782
47,,1.00,0.0022,0.74,1.2639
48,,1.00,0.0018,0.73,1.2774
49,,1.00,0.0017,0.74,1.3047
50,,1.00,0.0019,0.73,1.2878
51,,1.00,0.0018,0.74,1.2940
52,,1.00,0.0020,0.73,1.3117
53,,1.00,0.0011,0.73,1.3163
54,,1.00,0.0012,0.73,1.3177
55,,1.00,0.0014,0.74,1.3240
56,,1.00,0.0014,0.73,1.3203
57,,1.00,0.0012,0.72,1.3229
