,notes,train_acc,train_loss,val_acc,val_loss
0,,0.45,1.5063,0.49,2.5270
1,,0.50,1.4570,0.34,3.7015
2,,0.53,1.4246,0.54,2.7504
3,,0.49,1.4117,0.50,1.8757
4,,0.54,1.2440,0.41,2.7129
5,,0.55,1.2862,0.32,2.4747
6,,0.60,1.1019,0.41,2.1590
7,,0.64,1.0090,0.49,1.5576
8,,0.64,0.9384,0.42,2.0340
9,,0.65,0.9331,0.29,3.7300
10,,0.68,0.9257,0.22,3.4033
11,,0.74,0.6928,0.56,1.3578
12,,0.77,0.6150,0.58,1.7272
13,,0.83,0.4886,0.43,5.3965
14,,0.83,0.5189,0.47,2.6787
15,,0.88,0.3240,0.47,3.0657
16,,0.87,0.3979,0.47,3.4375
17,,0.92,0.2488,0.43,5.7948
18,,0.91,0.2855,0.56,2.7017
19,,0.96,0.1255,0.57,1.9483
20,,0.97,0.0904,0.56,3.1444
21,,0.97,0.0726,0.60,2.0178
22,,0.98,0.0538,0.62,2.6116
23,,0.98,0.0609,0.45,3.2039
24,,0.96,0.1426,0.61,2.4422
25,,1.00,0.0206,0.71,1.7273
26,,1.00,0.0072,0.62,2.9338
27,,1.00,0.0093,0.67,2.1266
28,,0.99,0.0153,0.42,6.5635
29,created new SGD optimizer with LR: 0.00100000000000000002,0.97,0.1094,0.67,1.8325
30,,0.97,0.1021,0.57,2.6154
31,,0.99,0.0307,0.68,1.6793
32,,1.00,0.0045,0.68,1.6170
33,,1.00,0.0043,0.68,1.6296
34,,1.00,0.0019,0.69,1.6194
35,,1.00,0.0039,0.68,1.6718
36,,1.00,0.0035,0.67,1.6802
37,,1.00,0.0018,0.67,1.6899
38,,1.00,0.0027,0.69,1.7201
39,,1.00,0.0012,0.68,1.7279
40,,1.00,0.0021,0.68,1.7115
41,,1.00,0.0021,0.69,1.6455
42,,1.00,0.0015,0.68,1.6744
43,,1.00,0.0012,0.68,1.7206
44,,1.00,0.0012,0.68,1.7315
45,,1.00,0.0012,0.69,1.7676
46,,1.00,0.0013,0.68,1.7550
47,,1.00,0.0007,0.69,1.7738
48,,1.00,0.0013,0.68,1.7973
49,,1.00,0.0011,0.68,1.7857
50,,1.00,0.0010,0.68,1.7822
51,,1.00,0.0007,0.69,1.7795
52,,1.00,0.0007,0.69,1.7802
53,,1.00,0.0011,0.69,1.7975
54,,1.00,0.0010,0.69,1.7939
55,,1.00,0.0007,0.69,1.7873
56,,1.00,0.0008,0.69,1.8272
57,,1.00,0.0005,0.69,1.8191
58,,1.00,0.0005,0.69,1.8092
59,created new SGD optimizer with LR: 0.0001,1.00,0.0007,0.69,1.8125
60,,1.00,0.0007,0.69,1.8039
61,,1.00,0.0013,0.69,1.8080
62,,1.00,0.0010,0.69,1.8123
63,,1.00,0.0006,0.69,1.8139
64,,1.00,0.0005,0.69,1.8157
65,,1.00,0.0017,0.69,1.8119
66,,1.00,0.0006,0.69,1.8132
67,,1.00,0.0007,0.69,1.8144
68,,1.00,0.0006,0.69,1.8146
69,,1.00,0.0009,0.69,1.8164
70,,1.00,0.0006,0.69,1.8143
71,,1.00,0.0005,0.69,1.8134
72,,1.00,0.0005,0.69,1.8147
73,,1.00,0.0005,0.69,1.8160
74,,1.00,0.0006,0.69,1.8155
75,,1.00,0.0014,0.69,1.8191
76,,1.00,0.0005,0.69,1.8200
77,,1.00,0.0008,0.69,1.8215
78,,1.00,0.0005,0.69,1.8225
79,,1.00,0.0019,0.69,1.8291
80,,1.00,0.0005,0.69,1.8295
81,,1.00,0.0005,0.69,1.8317
82,,1.00,0.0006,0.69,1.8301
83,,1.00,0.0010,0.69,1.8303
84,,1.00,0.0007,0.69,1.8308
85,,1.00,0.0006,0.69,1.8311
86,,1.00,0.0004,0.69,1.8317
87,,1.00,0.0006,0.69,1.8301
88,,1.00,0.0009,0.69,1.8281
89,created new SGD optimizer with LR: 0.00001,1.00,0.0007,0.69,1.8299
90,,1.00,0.0007,0.69,1.8296
91,,1.00,0.0004,0.69,1.8297
92,,1.00,0.0004,0.69,1.8299
93,,1.00,0.0005,0.69,1.8298
94,,1.00,0.0005,0.69,1.8299
95,,1.00,0.0016,0.69,1.8291
96,,1.00,0.0008,0.69,1.8291
97,,1.00,0.0005,0.69,1.8292
98,,1.00,0.0004,0.69,1.8291
99,,1.00,0.0010,0.69,1.8296
