,notes,train_acc,train_loss,val_acc,val_loss
0,,0.51,1.3837,0.41,2.0279
1,,0.56,1.2797,0.45,2.2832
2,,0.68,0.9477,0.51,2.2507
3,,0.64,1.0505,0.47,4.2797
4,,0.73,0.8367,0.64,1.9714
5,,0.78,0.6286,0.58,4.0879
6,,0.83,0.5062,0.42,4.5003
7,,0.89,0.3253,0.50,2.3638
8,,0.91,0.2820,0.67,1.3334
9,,0.93,0.2163,0.41,2.9218
10,,0.97,0.1125,0.54,1.8895
11,,0.97,0.1078,0.56,1.9154
12,,0.98,0.0724,0.65,1.5929
13,,0.99,0.0550,0.66,1.3227
14,,0.99,0.0575,0.49,2.5959
15,,0.97,0.0960,0.52,2.2240
16,,0.98,0.0756,0.52,2.9971
17,,0.98,0.0682,0.62,1.7680
18,,0.99,0.0465,0.72,1.1255
19,,1.00,0.0123,0.73,0.9974
20,,0.99,0.0239,0.53,2.2051
21,,0.99,0.0255,0.74,1.2958
22,,0.99,0.0462,0.67,1.8514
23,,0.99,0.0404,0.66,1.7682
24,,1.00,0.0151,0.68,2.3663
25,,1.00,0.0157,0.61,1.6858
26,,1.00,0.0096,0.75,1.0647
27,,1.00,0.0151,0.59,1.7983
28,,0.99,0.0213,0.68,1.9656
29,created new SGD optimizer with LR: 0.00100000000000000002,0.99,0.0302,0.75,1.3606
30,,0.99,0.0228,0.70,1.2646
31,,0.98,0.0718,0.66,1.8202
32,,0.96,0.0963,0.64,3.3851
33,,0.99,0.0258,0.77,0.9806
34,,0.98,0.0428,0.66,2.2920
35,,0.99,0.0193,0.62,2.0380
36,,1.00,0.0114,0.60,1.4969
37,,1.00,0.0123,0.65,1.6566
38,,1.00,0.0103,0.67,1.3517
39,,0.99,0.0194,0.61,2.0098
40,,0.99,0.0195,0.64,2.2866
41,,1.00,0.0100,0.75,1.2115
42,,1.00,0.0036,0.69,1.5273
43,,1.00,0.0167,0.65,1.5696
44,,0.99,0.0324,0.75,1.6592
45,,1.00,0.0079,0.63,1.6117
46,,0.99,0.0283,0.69,1.2444
47,,1.00,0.0060,0.56,2.5999
48,,1.00,0.0069,0.63,1.7756
49,,1.00,0.0037,0.61,1.9660
