,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.8081,0.43,1.6883
1,,0.43,1.6546,0.43,1.5998
2,,0.42,1.6008,0.43,1.5645
3,,0.41,1.5792,0.42,1.5479
4,,0.41,1.5692,0.43,1.5391
5,,0.43,1.5636,0.43,1.5339
6,,0.42,1.5589,0.42,1.5305
7,,0.42,1.5569,0.43,1.5281
8,,0.42,1.5548,0.42,1.5262
9,,0.41,1.5543,0.43,1.5250
10,,0.42,1.5536,0.43,1.5243
11,,0.41,1.5536,0.43,1.5236
12,,0.41,1.5523,0.43,1.5234
13,,0.41,1.5526,0.43,1.5234
14,,0.42,1.5527,0.42,1.5228
15,,0.41,1.5519,0.42,1.5226
16,,0.41,1.5517,0.44,1.5228
17,,0.43,1.5518,0.43,1.5227
18,,0.42,1.5512,0.44,1.5220
19,,0.41,1.5503,0.43,1.5228
20,,0.41,1.5520,0.43,1.5226
21,,0.42,1.5516,0.42,1.5219
22,,0.41,1.5519,0.42,1.5217
23,,0.41,1.5505,0.43,1.5216
24,,0.41,1.5517,0.42,1.5222
25,,0.42,1.5514,0.43,1.5223
26,,0.41,1.5515,0.43,1.5217
27,,0.42,1.5514,0.43,1.5221
28,,0.41,1.5520,0.43,1.5218
29,,0.42,1.5512,0.42,1.5217
30,,0.42,1.5505,0.43,1.5216
31,,0.41,1.5490,0.43,1.5216
32,,0.42,1.5490,0.43,1.5216
33,,0.43,1.5488,0.42,1.5216
34,,0.43,1.5488,0.42,1.5216
35,,0.41,1.5489,0.43,1.5216
36,,0.41,1.5489,0.43,1.5216
37,,0.41,1.5489,0.43,1.5216
38,,0.41,1.5489,0.43,1.5216
39,,0.41,1.5488,0.43,1.5216
40,,0.41,1.5488,0.43,1.5216
41,,0.42,1.5489,0.42,1.5216
42,,0.43,1.5489,0.43,1.5217
43,,0.41,1.5489,0.43,1.5216
44,,0.42,1.5489,0.43,1.5216
45,,0.43,1.5489,0.43,1.5217
46,,0.43,1.5489,0.43,1.5217
47,,0.43,1.5490,0.43,1.5217
48,,0.43,1.5490,0.43,1.5217

