,notes,train_acc,train_loss,val_acc,val_loss
0,,0.40,1.8147,0.42,1.6922
1,,0.41,1.6536,0.43,1.5985
2,,0.41,1.6034,0.43,1.5661
3,,0.41,1.5794,0.43,1.5485
4,,0.41,1.5690,0.42,1.5391
5,,0.41,1.5628,0.42,1.5334
6,,0.41,1.5592,0.42,1.5299
7,,0.41,1.5579,0.42,1.5280
8,,0.42,1.5562,0.43,1.5269
9,,0.41,1.5544,0.42,1.5257
10,,0.41,1.5544,0.43,1.5248
11,,0.41,1.5535,0.42,1.5240
12,,0.42,1.5530,0.42,1.5236
13,,0.42,1.5530,0.42,1.5235
14,,0.41,1.5538,0.43,1.5230
15,,0.42,1.5524,0.43,1.5228
16,,0.41,1.5524,0.43,1.5227
17,,0.41,1.5514,0.42,1.5227
18,,0.41,1.5529,0.43,1.5224
19,,0.41,1.5516,0.42,1.5224
20,,0.41,1.5514,0.43,1.5227
21,,0.43,1.5525,0.43,1.5227
22,,0.42,1.5513,0.43,1.5224
23,,0.42,1.5514,0.43,1.5221
24,,0.41,1.5515,0.42,1.5218
25,,0.41,1.5513,0.43,1.5217
26,,0.43,1.5509,0.43,1.5219
27,,0.41,1.5517,0.43,1.5216
28,,0.41,1.5513,0.43,1.5217
29,created new SGD optimizer with LR: 0.00100000000000000002,0.41,1.5514,0.42,1.5219
30,,0.41,1.5514,0.43,1.5223
31,,0.41,1.5490,0.43,1.5223
32,,0.41,1.5491,0.43,1.5223
33,,0.41,1.5490,0.43,1.5223
34,,0.41,1.5490,0.43,1.5222
35,,0.41,1.5490,0.43,1.5222
36,,0.42,1.5490,0.42,1.5221
37,,0.41,1.5489,0.42,1.5221
38,,0.41,1.5490,0.43,1.5221
39,,0.41,1.5489,0.43,1.5220
40,,0.42,1.5489,0.42,1.5220
41,,0.41,1.5489,0.42,1.5220
42,,0.41,1.5489,0.43,1.5220
43,,0.41,1.5489,0.43,1.5220
44,,0.43,1.5488,0.42,1.5221
45,,0.41,1.5489,0.42,1.5220
46,,0.41,1.5489,0.43,1.5220
47,,0.42,1.5488,0.43,1.5220
48,,0.41,1.5488,0.43,1.5219
49,,0.41,1.5489,0.42,1.5219
