,notes,train_acc,train_loss,val_acc,val_loss
0,,0.39,1.8176,0.43,1.6947
1,,0.42,1.6580,0.43,1.6011
2,,0.41,1.6018,0.42,1.5657
3,,0.41,1.5803,0.43,1.5483
4,,0.41,1.5694,0.43,1.5398
5,,0.41,1.5628,0.43,1.5339
6,,0.41,1.5589,0.43,1.5298
7,,0.43,1.5573,0.43,1.5279
8,,0.41,1.5557,0.43,1.5262
9,,0.42,1.5542,0.42,1.5252
10,,0.42,1.5535,0.42,1.5244
11,,0.41,1.5534,0.42,1.5239
12,,0.42,1.5527,0.43,1.5236
13,,0.41,1.5522,0.43,1.5230
14,,0.43,1.5523,0.42,1.5228
15,,0.41,1.5524,0.42,1.5225
16,,0.42,1.5526,0.42,1.5224
17,,0.41,1.5527,0.43,1.5221
18,,0.42,1.5512,0.42,1.5228
19,,0.41,1.5506,0.42,1.5229
20,,0.41,1.5520,0.43,1.5228
21,,0.42,1.5514,0.42,1.5220
22,,0.41,1.5517,0.42,1.5220
23,,0.41,1.5512,0.43,1.5233
24,,0.41,1.5514,0.42,1.5223
25,,0.41,1.5514,0.43,1.5223
26,,0.41,1.5523,0.43,1.5227
27,,0.42,1.5530,0.43,1.5226
28,,0.42,1.5513,0.43,1.5219
29,created new SGD optimizer with LR: 0.00100000000000000002,0.41,1.5520,0.43,1.5220
30,,0.41,1.5517,0.43,1.5218
31,,0.42,1.5490,0.42,1.5219
32,,0.41,1.5490,0.42,1.5219
33,,0.41,1.5488,0.42,1.5219
34,,0.41,1.5489,0.43,1.5219
35,,0.41,1.5489,0.43,1.5219
36,,0.42,1.5489,0.42,1.5219
37,,0.41,1.5490,0.43,1.5219
38,,0.41,1.5489,0.43,1.5219
39,,0.41,1.5488,0.42,1.5219
40,,0.42,1.5489,0.43,1.5219
41,,0.41,1.5489,0.42,1.5219
42,,0.42,1.5489,0.43,1.5218
43,,0.42,1.5489,0.43,1.5218
44,,0.43,1.5488,0.42,1.5218
45,,0.41,1.5489,0.43,1.5217
46,,0.42,1.5488,0.42,1.5217
47,,0.41,1.5489,0.42,1.5217
48,,0.41,1.5489,0.43,1.5218
49,,0.41,1.5489,0.43,1.5218
