,notes,train_acc,train_loss,val_acc,val_loss
0,,0.43,1.6534,0.43,2.5210
1,,0.51,1.4115,0.45,1.6447
2,,0.52,1.3818,0.51,1.7599
3,,0.50,1.3488,0.26,2.1083
4,,0.52,1.2960,0.55,1.3464
5,,0.56,1.2024,0.24,2.2345
6,,0.55,1.2218,0.50,1.3602
7,,0.57,1.1394,0.53,1.2944
8,,0.57,1.1420,0.43,1.4016
9,,0.55,1.1832,0.54,1.3792
10,,0.59,1.1239,0.55,1.2732
11,,0.60,1.1391,0.55,1.2803
12,,0.62,1.0670,0.57,1.4124
13,,0.63,0.9873,0.55,1.4947
14,,0.64,0.9883,0.38,1.9304
15,,0.60,1.0062,0.44,1.3880
16,,0.58,1.0583,0.39,1.6928
17,,0.64,0.9343,0.48,1.5338
18,,0.65,0.9361,0.56,1.3500
19,,0.66,0.8864,0.55,1.3614
20,,0.67,0.8390,0.45,1.6174
21,,0.67,0.9096,0.51,1.5200
22,,0.66,0.8881,0.46,1.7090
23,,0.67,0.9062,0.55,1.4556
24,,0.69,0.8408,0.55,1.3591
25,,0.71,0.7857,0.55,1.2855
26,,0.63,0.9835,0.48,1.8046
27,,0.77,0.6386,0.55,1.2535
28,,0.73,0.7268,0.49,1.7555
29,created new SGD optimizer with LR: 0.00100000000000000002,0.74,0.7359,0.43,1.4479
30,,0.76,0.6667,0.54,1.9692
31,,0.78,0.6273,0.52,1.3203
32,,0.82,0.5281,0.55,1.2982
33,,0.82,0.5081,0.51,1.9714
34,,0.83,0.4987,0.51,1.9119
35,,0.81,0.5231,0.52,1.4368
36,,0.84,0.4767,0.51,1.6332
37,,0.81,0.5229,0.57,1.4833
38,,0.84,0.4728,0.52,1.3611
39,,0.85,0.4600,0.49,1.4666
40,,0.87,0.4351,0.51,1.4510
41,,0.88,0.4173,0.48,1.6804
42,,0.82,0.5291,0.53,1.3277
43,,0.88,0.4226,0.53,1.3762
44,,0.88,0.4066,0.53,1.4800
45,,0.86,0.4315,0.56,1.9057
46,,0.86,0.4397,0.51,1.4521
47,,0.86,0.4465,0.51,1.4689
48,,0.89,0.3670,0.54,1.3027
49,,0.91,0.3541,0.51,1.2839
