,notes,train_acc,train_loss,val_acc,val_loss
0,,0.51,1.3789,0.47,1.5763
1,,0.62,1.1267,0.20,4.1833
2,,0.66,1.0482,0.30,3.5006
3,,0.71,0.7940,0.34,2.4764
4,,0.72,0.8831,0.51,1.9051
5,,0.74,0.7610,0.55,1.7452
6,,0.82,0.5598,0.61,1.4617
7,,0.88,0.3600,0.50,1.9214
8,,0.91,0.2751,0.56,1.8036
9,,0.93,0.2072,0.48,3.1882
10,,0.93,0.2173,0.51,2.6829
11,,0.96,0.1150,0.69,1.9398
12,,0.97,0.1166,0.53,3.0589
13,,0.97,0.1008,0.67,1.3948
14,,0.99,0.0599,0.55,3.7688
15,,0.99,0.0582,0.57,3.6007
16,,0.98,0.0451,0.67,1.8909
17,,0.99,0.0454,0.61,3.0113
18,,0.98,0.0696,0.56,2.2788
19,,0.99,0.0445,0.61,1.8133
20,,1.00,0.0145,0.60,1.9414
21,,0.96,0.1357,0.67,1.9598
22,,0.99,0.0308,0.52,2.7959
23,,1.00,0.0207,0.65,2.8399
24,,1.00,0.0145,0.58,1.8947
25,,1.00,0.0153,0.50,3.5220
26,,0.99,0.0271,0.55,2.9091
27,,1.00,0.0136,0.64,2.0501
28,,0.99,0.0304,0.65,2.0189
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0136,0.59,2.3855
30,,1.00,0.0114,0.59,2.2548
31,,1.00,0.0128,0.71,1.5707
32,,0.98,0.0330,0.66,3.1924
33,,1.00,0.0052,0.59,2.3362
34,,0.97,0.0575,0.69,2.7331
35,,0.99,0.0281,0.43,4.8033
36,,0.99,0.0266,0.61,2.0156
37,,0.99,0.0260,0.55,2.9024
38,,0.99,0.0196,0.57,2.7318
39,,1.00,0.0149,0.50,3.4065
40,,1.00,0.0146,0.53,3.6701
41,,0.99,0.0252,0.57,2.5718
42,,1.00,0.0113,0.59,2.7402
43,,1.00,0.0086,0.48,2.7132
44,,0.99,0.0086,0.68,1.7788
45,,0.99,0.0215,0.50,2.5731
46,,0.99,0.0088,0.58,2.9106
47,,0.99,0.0120,0.51,3.2392
48,,0.99,0.0203,0.69,1.9291
49,,0.99,0.0236,0.57,2.2533
