,notes,train_acc,train_loss,val_acc,val_loss
0,,0.44,1.5523,0.28,1.9343
1,,0.47,1.4607,0.32,1.6025
2,,0.51,1.3302,0.55,1.5047
3,,0.50,1.4080,0.44,1.3937
4,,0.55,1.2572,0.47,1.7381
5,,0.54,1.2339,0.53,1.3569
6,,0.53,1.3156,0.30,1.7482
7,,0.56,1.2019,0.39,2.1586
8,,0.56,1.1569,0.53,1.4790
9,,0.56,1.2053,0.59,1.5234
10,,0.60,1.1371,0.33,1.8185
11,,0.58,1.1045,0.51,1.5238
12,,0.54,1.2559,0.45,1.8509
13,,0.63,1.0046,0.31,1.7809
14,,0.63,1.0133,0.45,1.6849
15,,0.62,0.9737,0.56,1.4119
16,,0.62,1.0214,0.29,1.9251
17,,0.63,1.0319,0.49,1.3853
18,,0.65,0.9592,0.49,1.7607
19,,0.59,1.0642,0.48,1.4064
20,,0.63,1.0355,0.55,1.3794
21,,0.67,0.9137,0.41,1.4846
22,,0.70,0.8177,0.58,1.2411
23,,0.66,0.9198,0.39,1.7366
24,,0.65,0.8974,0.60,1.3154
25,,0.68,0.8498,0.52,1.4391
26,,0.68,0.8386,0.53,1.3567
27,,0.67,0.8562,0.53,1.3697
28,,0.70,0.7695,0.25,2.8571
29,created new SGD optimizer with LR: 0.00100000000000000002,0.70,0.8185,0.50,1.3244
30,,0.69,0.8085,0.53,1.5042
31,,0.75,0.6947,0.58,1.3349
32,,0.80,0.5794,0.36,1.8369
33,,0.77,0.6160,0.51,1.5663
34,,0.78,0.6493,0.53,1.3764
35,,0.79,0.5925,0.57,1.2756
36,,0.80,0.5700,0.51,1.5651
37,,0.81,0.5666,0.49,1.6879
38,,0.81,0.5683,0.50,1.1970
39,,0.76,0.6454,0.54,1.3179
40,,0.81,0.5598,0.49,1.4319
41,,0.79,0.5943,0.44,1.4676
42,,0.80,0.5427,0.59,1.4835
43,,0.78,0.6256,0.60,1.2154
44,,0.82,0.5284,0.55,1.4817
45,,0.85,0.5145,0.44,1.6801
46,,0.82,0.5353,0.43,2.2279
47,,0.81,0.5475,0.49,1.3714
48,,0.81,0.5416,0.50,1.5864
49,,0.78,0.6120,0.55,1.7560
